Gank,CRM LocationCode,CRM Location Name,Text to identify Mall,Text to identify Merchant,ZipCode to identify Mall,GST to identify Merchant
99,L1800100314,LOT ONE - PIZZA HUT,LOT 1|LOT ONE|21 CHOA CHU KANG,PIZZA HUT|GST REG NO:M2-0114109-5|TEL: 6465 5740,,M201141095
98,L03063160552,TAMPINES MALL - PUTIEN,TAMPINES MALL,PU TIEN|TEL : 6781 2162|FAX : 6781 2163|GST REG : 200001660-W,529510,200001660W
97,L2505080285,WESTGATE - CJ KITCHEN,WESTGATE|3 GATEWAY DRIVE,CRYSTAL JADE KITCHEN (WG)|TEL NO: 64659822|FAX: 64659833|GST NO: 200002726D,608532,200002726D
95,L0220880087,JUNCTION 8 - WATAMI JAPANESE CASUAL RESTAURANT,JUNCTION 8|9 BISHAN PLACE,WATAMI|WATAMI JAPANESE CASUAL|TEL:6258 3577|FAX:6258 3803|GST REG. NO: 200821208-R,579837,200821208R
94,L0201860190,JUNCTION 8 - CHALLENGER,JUNCTION 8|9 BISHAN PLACE,CHALLENGER|198400182K,579837,M200632303
93,L2402120044,BEDOK MALL - SWENSEN'S,BEDOK MALL|311 NEW UPPER CHANGI ROAD,SWENSEN|SWENSEN'S|FAX: 6844 9750|COMPANY REG. N 197803023H|GST NO. M2- 0032810-8,,M200328108
92,L57083340747,RAFFLES CITY SINGAPORE - MUJI,RAFFLES CITY|252 NORTH BRIDGE ROAD|SINGAPORE 179103,MUJI|MUJI SING|#02-20/22|PHONE +65-6264 5838|FAX: +65-6264 5260,179103,200300025H
91,L0208690104,JUNCTION 8 - BHG,BISHAN,WWW.BHGSINGAPORE.COM.SG|AT BHG|65-67041368|BHGSING,,M201190924
90,L09071100999,JCUBE - SAIZERIYA,JCUBE|JCUBE MALL,SAIZERIYA|TEL: 6268 7512|COMPANY REG. NO. 200818603R|GST REG. NO. 20-0818603-R,609731,200818603R
9,L0413460570,PLAZA SINGAPURA - COLD STORAGE,PLAZA SINGAPURA|68 ORCHARD ROAD|SINGAPORE 238839,CS PLAZA::CS|COLD STORAGE|#B2-15/16|GST NO MR-8500225-7,238839,MR85002257
89,L0500511872,IMM BUILDING - POPULAR,IMM BUILDING|IMM MALL|IMM BRANCH|IMM BLDG|IMM,POPULAR|POPULAR BOOK|GST REG MR-8500027-X,609601,MR8500027X
88,L03017660586,TAMPINES MALL - ITACHO SUSHI,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,ITACHO SUSHI|ITACHO|67895388,529510,200906024W
87,L09001790291,JCUBE - ASTONS SPECIALITIES,JCUBE|JCUBE MALL|2 JURONG EAST CENTRAL 1|609731,ASTONS|TEL: 6334 7072|GST REG. NO. : 200719983N,609731,200719983N
