No,Location Code,CRM Location Name,Text to identify Mall,Text to identify Merchant,ZipCode to identify Mall,GST to identify Merchant
,L57131690620,Raffles City Singapore - Hyang-To-Gol,RAFFLES CITY|252 NORTH BRIDGE ROAD,HYANGTOGOL|TEL: 6336 4745|WWW.HYANGTOGOL.COM,,2006009216
903,L22084820588,The Star Vista - ???,Vista Exchange Green|Star Vista,Lao Hua Tang|Green #B1-31A|LaoHuoTang,138617,201628238G
167,L57250063054,Raffles City Singapore - STARBUCKS COFFEE,252 North Bridge Road|Raffles City,Starbucks Coffee|#01-46/47/48|Tel No. 6910-0971,179103,18-8800670-D
549,L06068330918,Bugis Junction - amore fitness & boutique spa,BUGIS JUNCTION,AMORE BOUTIQUE SPA|TEL NO: 63366822|GST NO 19-8700512-K|I AM AMORE|I AM MORE,,198700512K
171,L2500670121,Westgate - STARBUCKS COFFEE,3 Gateway Drive,Starbucks Coffee|Tel No : 6910-1253,58717,19-8800670-D
174,L1600670145,Bukit Panjang Plaza - STARBUCKS COFFEE,Bukit Panjang Plaza|1 Jelebu Road,Starbucks Coffee|#02-09/09A|Tel No. 6910-1281,677743,19-8800670-D
263,L57088340600,Raffles City Singapore - The Soup Spoon Union,RAFFLES CITY,THE SOUP SPOON UNION|TEL:63343220|WWW.THESOUPSPOON.COM|BASEMENT 1 UNIT 61/62,,199200297K
84,L1808940066,Lot One - Kiddy Palace,LOT 1|LOT ONE|21 CHOA CHU KANG,KIDDY PALACE|TEL: 67640790,,199201408M
141,L2508940074,Westgate - Kiddy Palace,WEST GATE|3 GATEWAY DRIVE,KIDDY PALACE,,199201408M
232,L2408940132,Bedok Mall - Kiddy Palace,BEDOK MALL,KIDDY PALACE|TEL:68449355,,199201408M
462,L0208940151,Junction 8 - Kiddy Palace,JUNCTION 8::8,KIDDY PALACE|TEL: 62543757,,199201408M
521,L1812570527,Lot One - KIYO,LOT ONE,KIYO|#01-12/13|VAT REG. NO. 199302605H,689812,199302605H
599,L2412570139,Bedok Mall - KIYO,BEDOK MALL|311 NEW UPPER CHANGI ROAD,KIYO|#B1-68/69/70|PHONE : 67024185|VAT REG. NO. 199302605H,467360,199302605H
489,L0200380091,Junction 8 - YOSHINOYA,JUNCTION 8::8,YOSHINOYA|: 19-9304141-R|OUTLET NO.: 6356 8720,,199304141R
73,L2400380079,Bedok Mall - YOSHINOYA,BEDOK MALL,YOSHINOYA|6844 9418,,19-9304141-R
132,L0200320030,Junction 8 - TORI Q,BISHAN JUNCTION 8::8,TORIQ #B1-25|TORIQ|TORI_Q_Official|www.tori-q.com,,1994030568R
100,L0300320268,Tampines Mall - TORI Q,TAMPINES MALL,TORIQ|TORI-Q_Official|www.tori-q.com,,199403056A
,L2511300426,Westgate - BEGA,WESTGATE #02-10|GATEWAY DR,TEL:6369 9345 FAX:|ONLINE@BEGA,608532,199403730G
179,L0528152023,IMM Building - Royal Sporting House Outlet,RSH IMM,RSH SING|AT RSH|TEL NO: 6567 9308,,199409417M
365,L0200120155,Junction 8 - ROYAL SPORTING HOUSE,JUNCTION 8::8,RSH (SING)|TEL. NO. 6256-2989,,199409417M
373,L0300120371,Tampines Mall - ROYAL SPORTING HOUSE,TAMPINES MALL,RSH SING|ROYAL SPORTING HOUSE|TEL. NO. 6787-8102,,199409417M
418,L1800120070,Lot One - ROYAL SPORTING HOUSE,LOT ONE|LOT 1,RSH SING|ROYAL SPORTING HOUSE|TEL. NO. 6763-6260,,199409417M
194,L1600120030,Bukit Panjang Plaza - ROYAL SPORTING HOUSE,BUKIT PANGJANG PLAZA,RSH SING|ROYAL SPORTING HOUSE|TEL. NO. 6769-9376,,199409417M
108,L22028150494,The Star Vista - ROYAL SPORTING HOUSE OUTLET,RSH STAR VISTA,RSH STAR|Tel. No. 6248 4596,,19-9409417-M
7,L0314320263,Tampines Mall - EXPRESS TEPPAN-YAKI,4 TAMPINES CTRL 5|TAMPINES MALL,EXPRESS TEPPAN-YAKI|#B1-K22 TAMP,529510,199501289G
168,L0502831538,IMM Building - Song Cho,IMM Building,SONG-CHO|Building #03-09|TEL : 65 6563 1815|www.songcho.com.sg,609601,19-9502110-C
79,L1801970497,Lot One - SAKAE SUSHI,LOT 1|LOT ONE|21 CHOA CHU KANG AVE 4,SAKAE KYO|TEL: (65) 67643678|: 201008718R,689812,199604816E
519,L0209280088,Junction 8 - The Coffee Bean & Tea Leaf,JUNCTION 8::8|9 BISHAN PLACE,THE COFFEEBEAN & TEA LEAF|TEL: 6259 3025,579837,199605163K
574,L05009281284,IMM Building - The Coffee Bean & Tea Leaf,IMM BUILDING|2 JURONG EAST::2,THE COFFEE BEAN & TEA LEAF|TEL: 6896 1781,609601,199605163K
208,L03072940508,Tampines Mall - SUKI-YA and eat at taipei,TAMPINES MALL|4 TAMPINES CENTRAL 5,EAT AT TAIPEI|TEL: 6789 6166|ROB: 53187736A|EMAIL:MAIL@CREATERIES.COM,,199605714E
172,L0504971683,IMM Building - Cafe Red Ginger,2 JURONG EAST ST 21::2| IMM Building,CAFE RED GINGER|#01-46 IMM,609601,199607335R
,L1802240114,Lot One - Sasa,LOT ONE|LOT 1|21 CHOA CHU KANG AVE 4,SA SA|SA SA COSMETIC [L1]|TEL:6892 9980,,199701568C
286,L2502240318,Westgate - Sasa,WESTGATE|3 GATEWAY DRIVE,SA SA COSMETIC [WG]|TEL:64659143|FAX:64659144,608532,199701568C
530,L0602240372,Bugis Junction - Sasa,BUGIS JUNCTION|200 VICTORIA STREET,SA SA COSMETIC [BJ2]|TEL:63369180|FAX:63364282,,199701568C
,L22032990414,The Star Vista - Cedele,STAR VISTA|1 VISTA EXCHANGE GREEN,CEDELE|CEDELEGROUP|FAX: 6734 1793|WWW.CEDELEGROUP.COM,138617,199702636m
,L57250833132,Raffles City Singapore - Cedele,RAFFLES CITY|2 STAMFORD ROAD,CEDELE|TEL: 63344828|FAX: 63344335|WWW.CEDELEGROUP.COM,178882,199702636m
265,L0611750034,Bugis Junction - iORA,BUGIS JUNCTION|200 VICTORIA STREET,IORA|TEL:+6563389363,,199703089W
95,L25067660734,Westgate - LINEN GALLERY,3 Gateway Dr|@Westgate,Linen Gallery|Tel: (65) 6266 5868|@Westgate #03-41,608532,199705286G
157,L18067660095,Lot One - LINEN GALLERY,21 Choa Chu Kang Ave 4|@Lot One Shoppers',Linen Gallery|Tel : (65) 6769 2389|Mall #03-16,689812,199705286G
398,L0639180462,Bugis Junction - MENYA MUSASHI TAKATORA,BUGIS JUNCTION|200 VICTORIA STREET,MENYA MUSASHI TAKATORA|TEL: 6884 6454,188024,199707251G
119,L1602120086,Bukit Panjang Plaza - SWENSEN'S,BUKIT PANJANG PLAZA|1 JELEBU ROAD,SWENSEN|SWENSEN'S|TEL : 68920319|FAX: 68923450|COMPANY REG. N 197803023H,677743,199707925N
